,ra,ra_error,dec,dec_error,source_id,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,parallax_pmdec_corr,parallax_pmra_corr,pmra_pmdec_corr,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,ruwe,probability,stability,label
483,82.44725047474189,0.06280148901779115,1.16485458746597,0.05416990032567162,3221958163357743872,2.792926408666972,0.06722117833221901,1.845552844332902,0.123419960951743,-0.41241463534931067,0.0989682331707159,-0.23020928,-0.5716251,0.37876868,0.11418841,0.33464485,-0.5273220999999999,-0.49032876,0.0008621831,-0.4268295999999999,0.47847614,0,14105.344509109673,27.81599617571233,15.314906,3042.7132417604457,28.25679126703525,16.643235999999998,17268.625975703977,87.59169245459566,14.168776000000001,2.4744606,,,3562.3726,,,1.0542396,0.1612615,0.98080487203,0.17165492957746478,3408,1
486,82.06223777904931,0.0693370044408286,0.5992142386169295,0.06719072415988894,3221811722152832768,3.0008039391365946,0.08904181494118653,1.6663609023126689,0.14038975653798605,-0.05424131469106962,0.1215026429152406,-0.41905016,-0.46561965,0.09002811,0.32863906,0.0620765,-0.35501659999999996,-0.2922369,0.17324884,-0.006867436,0.12069869,0,5177.339068917887,6.517593943917768,16.4031,948.4881388195683,18.075161546568008,17.908807999999997,6841.348827734608,39.894781496999656,15.174066,2.7347422000000003,,,3970.53,,,,,0.9728407602600001,0.15933098591549297,3408,1
489,82.02306334586984,0.07575323542326744,0.9013971458791108,0.07003456310383485,3221926238864659840,2.744002556175372,0.08344489535990139,1.746737432498545,0.15906908890145094,-0.2065341814534079,0.12860353105005662,-0.30247602,-0.44527063,0.29750562,0.24275002,-0.033160876,-0.46838859999999993,-0.38834733,0.08293151,0.011533518000000001,0.25328198,0,6570.914604502885,5.9685521776996096,16.1443,1292.9526371473548,17.917690301512632,17.572432,8269.643721724817,26.36619535327468,14.968202999999999,2.604229,,,3678.0,,,0.6587151,0.07153801,1.11625540031,0.19806338028169015,3408,1
490,82.04485549513763,0.1380628428861052,0.8912376899627991,0.13436506501849166,3221925963986740608,3.088581631155694,0.1682281112300778,1.6688701648284086,0.29040154126952006,-0.0446030735378403,0.2351292795424535,-0.43873578,-0.48721040000000004,0.28053567,0.3098623,-0.07303577,-0.41829833,-0.26506063,-0.03911302,0.044296577999999996,0.18892244,0,1329.6221999974691,2.3265311595032325,17.879045,161.28457346806425,12.19379027576716,19.832407,1984.1849083161906,13.791241209699015,16.517965,3.3144417,,,,,,,,0.934030359381,0.10240610328638497,3408,1
492,81.97597831353771,0.06447056019069974,1.1050502154086197,0.05985033812897664,3221980978224116224,2.7427103085179283,0.0704958206127257,1.44470587778445,0.11856414343701463,-0.277950419474518,0.10633124252186546,-0.10312786,-0.5187265,0.21018068,0.07006411,0.12089358,-0.22343151,-0.23361905,0.34266776,-0.18132025,0.2216446,0,14660953.247657167,7134.495890630193,7.77296,11081447.689519413,19720.345102088282,7.739897,5739711.670942246,9572.545232542378,7.8646946,-0.12479782,,,8868.667,0.122,0.0635,,,1.11184020177,0.3201291079812207,3408,1
528,83.2937512858892,0.031388742911214886,1.4345283374907394,0.02781504162281353,3222711912937506816,2.749488833707983,0.037050817668901115,1.9229897714644095,0.07144268181013295,-0.2778971626457144,0.06789823382710475,-0.27671868,-0.35208052,0.04901576,0.3815111,-0.056375824000000005,-0.48468137,-0.20960563,0.058229547,-0.15293227,0.008513900999999999,0,29778.113026281637,35.04685713736608,14.503623000000001,9456.839043786027,50.82617328421796,15.412023999999999,29982.457572245472,80.16037731077395,13.569752,1.8422718,,,3932.0,,,1.1225562,0.27137193,1.0123304715600001,0.1267605633802817,3408,1
534,83.09401131458866,0.042389272215343984,1.5284586285549069,0.03886246677210732,3223466448503606400,2.794426306152882,0.050696899226999326,1.5974833275625917,0.07667687184471357,-0.3707992076702211,0.06355300951204766,-0.41951272,-0.44443467,0.14889915,0.19044495,0.21789719,-0.14212957,-0.27450588,0.33027685,-0.10652321,0.29831204,0,371255.8472472908,1055.4872469064715,11.764182,180125.36975522235,1564.9583981946378,12.212451,273504.2866508832,1871.0492801155053,11.16951,1.0429411,21.19248894803036,7.585959657359578,5095.0,,,1.8302735,2.0337777,1.16566803808,0.3104460093896714,3408,1
536,83.11005696966491,0.07064155327231113,1.568360644451993,0.06866210093537746,3223468136420414080,2.993985422968777,0.09232129658556297,1.7184725783296757,0.1399305923837746,-0.0655653892118085,0.12059288805649067,-0.49818316,-0.34713718,0.14202581,0.287774,0.104599915,-0.21297088,-0.16649511,0.18001384,0.020309284,0.22152865,0,6204.773757022549,8.71749035612507,16.20655,1108.1566402843055,14.078889736225733,17.739885,8086.549429797405,30.324180386543283,14.992512,2.7473736,,,4016.5632,1.053,0.5687,,,1.0661616019,0.17400234741784038,3408,1
537,82.91232123866811,0.07351454554160124,1.3766692299634151,0.06796324765113608,3223457656700297600,2.7888331364637726,0.08214280880109671,1.7608433629912337,0.1517968316296283,-0.0993270971510124,0.10872125946201892,-0.46363264,-0.23497762,0.42697233,0.18250892,-0.07412869,-0.037303265,0.12175037,-0.018404355,0.28645194,0.33942643,0,7605.2051734144225,38.180810271972156,15.985588,1506.4457864260046,45.17727133588456,17.406504,9530.049533719794,131.5540638302448,14.814182,2.5923214,,,3355.6667,0.5770000000000001,0.3027,0.95027393,0.10315912,1.0410241521999999,0.21919014084507044,3408,1
538,83.06565828351093,0.1406404874309624,1.7909740808108163,0.12668075827793354,3223509501249118464,2.93293191754383,0.16252426790539504,1.2615161095427068,0.26797804567681394,-0.5765750131984335,0.24129015500404802,-0.38981524,-0.45945528,0.07472052400000001,0.21501441,0.27512416,-0.21164572,-0.23259874,0.1748627,-0.38790736,0.2453731,0,1875.6186093317306,3.0296067801802207,17.505505,244.9048927853924,12.226635989520295,19.378895,2664.04874154545,19.072257206394628,16.198065,3.18083,,,,,,,,1.0146823845,0.1505281690140845,3408,1
