,object_id,gid,density,,duplicated_source,dec_error,ra,dec,phot_bp_mean_mag_error,phot_rp_mean_mag,lum_val,b,phot_g_mean_mag,ra_error,pmra_error,radial_velocity_error,phot_bp_mean_mag,phot_rp_mean_flux,pmra,l,source_id,phot_g_mean_flux,teff_val,e_bp_min_rp_val,bp_rp,pmdec_error,radial_velocity,radius_val,pmdec,phot_g_mean_flux_error,parallax,phot_bp_mean_flux_error,phot_bp_mean_flux,phot_rp_mean_mag_error,phot_rp_mean_flux_error,a_g_val,phot_g_mean_mag_error,parallax_error,plx
6751,6751,1,734.0909,9118,0,0.0215,81.37142831063001,1.4035899523299997,0.0217,12.957,0.373,-18.34523817814,13.74,0.0242,0.048,,14.4247,52718.55679189701,1.271,201.45997114736,3222202873414312704,60167.51211430867,4568.67,0.554,1.4677,0.043,,0.97,0.040999999999999995,280.01607649134627,2.8238,469.925358995516,23479.4338755497,0.0143,695.4130210184774,1.121,0.0051,0.0321,2.8238
6508,6508,1,733.1251,8836,0,0.0343,80.45478773078,0.58769369642,0.0085,11.9967,0.862,-19.543388908279997,12.6578,0.0373,0.077,,13.1786,127671.24375177948,1.0859999999999999,201.73987165927,3221677478654607360,163011.3484336158,4939.0,0.4833,1.1819,0.07,,1.27,-0.042,359.7285614405891,2.8918,581.4364401731493,73982.03309350986,0.0079,931.4429080015628,0.9865,0.0024,0.0436,2.8918
6007,6007,1,728.79865,8246,0,0.0225,82.2272141762,-1.68503927693,0.0052,12.2699,0.6779999999999999,-19.07931161282,13.0026,0.0254,0.046,,13.6074,99263.54545216169,1.185,204.75392565459,3220216085967483136,118655.2806741301,4941.33,,1.3375,0.040999999999999995,,1.12,-1.002,191.75194092765142,2.7804,238.12721718895241,49840.33212930773,0.0047,427.3507064023774,,0.0018,0.0317,2.7804
6723,6723,1,716.52893,9087,0,0.0447,80.90271098266999,1.54004409439,0.0095,14.6801,,-18.68697477406,15.8013,0.0518,0.109,,17.0738,10782.715047548169,1.237,201.09254436572,3222176549558406528,9011.923500555247,4200.27,,2.3938,0.091,,,-0.17600000000000002,11.018828902492066,2.7817,17.844999827518926,2046.5209521625,0.0035,35.183326907288425,,0.0013,0.0605,2.7817
6692,6692,1,705.5629,9054,0,0.0276,80.80170129653001,1.35420270476,0.0109,13.3487,0.289,-18.86610734337,14.2434,0.0296,0.053,,15.0638,36750.91739109585,1.436,201.21131520236,3222154941578772352,37844.49264860906,4155.67,,1.7151,0.048,,1.04,-0.253,51.70925201586673,2.8018,130.47834171529007,13032.144792390374,0.0051,173.608098806014,,0.0015,0.03,2.8018
6668,6668,1,701.36835,9024,0,0.0314,81.14857820476,1.17194023594,0.0084,11.8733,1.0090000000000001,-18.65279759536,12.5235,0.0341,0.063,,13.0342,143038.22541391125,1.35,201.55836010072,3222099274507005056,184479.1615098565,4918.33,0.4673,1.1609,0.054000000000000006,,1.38,-0.214,398.76444348748583,2.8505,651.5666169706561,84503.22374559907,0.0055,728.3215989778752,0.9133,0.0023,0.0408,2.8505
6731,6731,1,690.939,9095,0,0.0345,80.94096878078,1.66324325528,0.0128,12.0296,0.845,-18.59318400167,12.6996,0.0333,0.067,19.15,13.2455,123857.70087808359,1.374,200.99907602272,3222179921108496256,156858.37452075552,4836.7,0.367,1.2159,0.067,9.93,1.31,-0.057,514.620811105536,2.9017,820.6568086798703,69561.96465411785,0.0094,1075.3809055702418,0.7322,0.0036,0.048,2.9017
6682,6682,1,687.82104,9042,0,0.0228,80.51281383655,1.12056645272,0.0064,13.039,0.293,-19.232357777009998,13.8936,0.0258,0.045,,14.6617,48883.45510832127,1.079,201.27707298807,3222121921870275456,52230.572143166384,4687.6,,1.6227,0.038,,0.82,0.129,88.1916924779763,2.9056,111.00751827975184,18874.751647058714,0.0045,201.5300097114028,,0.0018,0.0316,2.9056
6697,6697,1,686.76416,9059,0,0.0171,81.04937595521,1.36725394604,0.0053,12.549,0.55,-18.64383867002,13.28,0.0192,0.037000000000000005,,13.8917,76767.09596614084,1.331,201.32736406461004,3222158446272050688,91910.48062027355,4645.83,0.5333,1.3427,0.032,,1.15,-0.314,120.2041401449946,2.8328,187.00671332200974,38361.275170272536,0.0038,271.490842181388,1.106,0.0014,0.0218,2.8328
6669,6669,1,684.5237,9025,0,0.0547,81.04374908093,1.1939204670299999,0.0164,14.0423,0.138,-18.73351357736,15.3005,0.0563,0.107,,16.4207,19402.718005818988,1.4380000000000002,201.48406685818,3222100481393451904,14294.169576720093,3715.83,,2.3784,0.098,,0.9,-0.043,31.696143908829946,2.8706,56.312870118257024,3734.935408504284,0.0511,912.402361952079,,0.0024,0.0607,2.8706
5345,5345,1,661.9431,7404,0,0.0459,84.66449427021,-1.2596346450700002,0.0085,13.95,0.185,-16.72970714568,15.1029,0.0478,0.099,,16.4381,21124.3974662504,1.954,205.56578732626,3217478168870686464,17146.525377803235,3629.67,,2.4882,0.08900000000000001,,1.09,-1.365,27.831977394243356,2.8019,28.93341082816461,3675.459503290182,0.005,97.91537864743086,,0.0018,0.0607,2.8019
4752,4752,1,657.27374,6742,0,0.0616,84.71966254415,-2.20649813744,0.0111,14.0747,,-17.1237561264,15.2767,0.0593,0.11699999999999999,,16.7474,18831.964107376683,1.8659999999999999,206.46759638779,3216518226500019968,14610.245869057931,3229.0,,2.6727,0.106,,,-1.545,14.5936772634223,2.7046,28.148138458790804,2764.3339987698296,0.0027,47.58242391210587,,0.0011,0.0658,2.7046
