,Unnamed: 0,ra,ra_error,dec,dec_error,source_id,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,parallax_pmdec_corr,parallax_pmra_corr,pmra_pmdec_corr,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,ruwe,probability,stability,label
228,994,82.8830078115733,0.064830518015551,1.3690313188710201,0.065046838899394,3.22345758798083e+18,2.88723457001549,0.08629409492511701,1.71905112682375,0.119982539420748,-0.33809633965272595,0.10551051038075,-0.5218721,-0.45372757,0.039291818,0.31604475,0.21889944,-0.25563642,-0.35887572,0.32683462,-0.015365861000000001,0.23563045,0,6631.38915013044,13.427221829630101,16.134354000000002,1340.29658188095,21.6613356520666,17.533386,8262.39764346129,65.8866873342158,14.969154000000001,2.5642319,,,3299.5,,,,,0.9605027416799999,0.27910403772472697,3393,1
229,998,82.94455263986642,0.039425049365923996,1.70666710872581,0.039112143454669,3.22348565988671e+18,2.95413567075876,0.051452204104295,1.6271566046608998,0.07394947399747501,-0.45764918797248105,0.063551226121496,-0.5129435999999999,-0.471008,-0.05251501,0.24146533,0.17229119,-0.021060667999999998,-0.19928962,0.3373825,-0.12849264,0.11236066,0,167775.089959929,436.25186771422796,12.626547,78402.2581669999,810.2745258994411,13.115567,127648.97906822801,979.29618150056,11.996877,1.1186905,20.0825082829655,7.884105843704059,4988.0,0.7609999999999999,0.38,1.2276709,0.8405516,1.09729998174,0.36280577659887997,3393,1
230,1002,82.721971055082,0.07130004205439099,1.59915306122712,0.068994966373207,3.22352414279376e+18,2.84569003188828,0.084052625885722,1.57280472439297,0.14909739036592,-0.17417815561593902,0.123348939748486,-0.42200390000000004,-0.4505741,0.26333556,0.31341398,-0.047907736,-0.4367572,-0.29289585,-0.002040651,0.04708292,0.18861295,0,8104.24607797027,12.2024999837503,15.916584,1712.81643485871,20.4810281607612,17.26711,9944.76328810499,35.4407344910852,14.767934,2.499177,,,3354.0,,,0.963023,0.10573537,1.2191613652200002,0.36781609195402293,3393,1
231,1003,82.7210536155841,0.042702513167441,1.61306570948158,0.043615029716831,3.22352424587298e+18,2.6606622018784103,0.05121189165934299,1.6605177253740502,0.082352192990681,-0.522437294950562,0.068671552054733,-0.5307967,-0.38581398,0.010075484000000001,0.25661469,0.062275115,-0.34973976,-0.47333717,0.29304376,0.10810253,0.1301089,0,1592340.37319559,768.760043925837,10.183276,941218.5971779879,1267.2232413311,10.417162,939839.265408741,745.8898016686591,9.829286,0.5878763000000001,19.3932107532745,2.62898864576003,6592.0,,,2.261361,8.69968,0.946605339794,0.13616268788682598,3393,1
232,1004,82.5570959727344,0.10003117098369502,1.5667247508957902,0.09726083911268302,3.22352321508087e+18,2.8400626861638796,0.095999704383536,1.5458832771975901,0.17988188772710897,-0.292069889475753,0.153852767553822,-0.3567373,-0.57735646,0.42897657,0.11769020000000001,0.10413403,-0.51085186,-0.6133327,0.14491110000000001,-0.30506644,0.52404726,0,5916.65798874695,6.73897872850847,16.258175,930.442230240507,11.1866392493201,17.929665,8046.21951024813,19.862917511768398,14.99794,2.9317245,,,3957.9502,,,,,1.13329736224,0.34394341290892994,3393,1
233,1008,82.6149324682615,0.040602396386521,1.7282849144416699,0.038157733408232,3.22353005266875e+18,2.90065385786017,0.042978033958827,1.73499802145838,0.083064522981815,0.032488923247732004,0.070434650588918,-0.24178983,-0.4927585,0.2455345,0.20013052,0.022857718,-0.43924513,-0.40977907,0.11931517,-0.11228738,0.24714124,0,12157.903942713501,40.2492664070068,15.476219,2845.19909098783,42.9588039721486,16.716106,14284.7551418121,110.77840455130399,14.374738,2.3413687000000003,,,4025.5,,,0.62977237,0.0938299,0.8856106118029999,0.31712348953728303,3393,1
234,1009,82.60068199166209,0.067288077611266,1.74868080782884,0.063509200116402,3.22353032754702e+18,2.7492016619026103,0.07221493615257901,1.51995172366065,0.13949679382801003,0.09861225667507598,0.119583849820054,-0.20027379999999997,-0.49692208,0.21513395,0.17550948,-0.0046918793,-0.40648407,-0.37820542,0.13438134,-0.12017304,0.21477944,0,6643.670010038779,6.59841563319431,16.132345,1395.47251418781,22.496688071511503,17.489586,8200.31872720891,20.5562496208408,14.977344,2.5122423,,,3699.3333,,,0.648602,0.070981495,1.06101659379,0.28735632183908,3393,1
235,1012,82.5138798258894,0.065904538665865,1.84502907008495,0.06147630646362699,3.22354372784462e+18,2.85180281405639,0.08210741748981401,1.83986136342249,0.133459198596255,-0.42777190883156,0.11447238732917699,-0.36060590000000003,-0.46751496,0.15079616,0.33552372,0.085134864,-0.36844933,-0.2443402,0.12467843,-0.038387705,0.14885524,0,7053.452685855071,8.23654833605065,16.067362,1386.26564988452,17.780255075143103,17.496773,8943.822676216121,20.9381823475405,14.883111999999999,2.6136607999999995,,,3454.5,,,0.8098325,0.08414453,1.04425219819,0.300029472443266,3393,1
236,1013,82.5317126007415,0.08415370207256301,1.71039310218052,0.079399678307011,3.2235283690416e+18,2.8905300094957,0.09363862508936001,1.8962255165516897,0.135634591242648,-0.33983746411843,0.10932064134882198,-0.5677274999999999,-0.4788794,0.25691193,0.17800587,0.1257945,-0.32354432,-0.6136074,0.45722958,-0.07273743,0.45644632,0,12017.2532533431,41.6463394892065,15.4888525,2800.9102845477,38.791424506769,16.73314,14325.5692020898,109.37447230441,14.37164,2.3615007,,,3599.6667,,,0.90815556,0.12475685,1.19561103509,0.240495137046861,3393,1
237,1025,82.3640536972161,0.03546220980507799,1.87040928058689,0.032144784913583,3.22354743869639e+18,2.8347074001944703,0.046741137464900995,1.7721481358089501,0.080774744632748,-0.42048680696856894,0.072084303901294,-0.35255858,-0.28399256,0.14311965,0.43779898,-0.17253755,-0.44613016,-0.13810845,0.08611575,0.19990829999999998,0.012762994,0,20712.4669431294,89.9942832325658,14.897785999999998,5820.240955521371,103.71832478195,15.939035,22433.127606770402,249.488325441291,13.884695,2.0543404,,,3699.0,,,1.111009,0.20819353,0.9561731495360001,0.36693191865605695,3393,1
